Health System,Hospital,State,URL,Site,Contact Info,Notes,Contacted
,HUNTINGTON MEMORIAL HOSPITAL,CA,,,,,
,JOYCE EISENBERG KEEFER MEDICAL CENTER,CA,,,,,
,KAISER FOUNDATION HOSPITAL SOUTH BAY,CA,,,,,
,KAISER PERMANENTE WOODLAND HILLS MEDICAL CENTER,CA,,,,,
,KINDRED HOSPITAL - LA MIRADA,CA,,,,,
,KINDRED HOSPITAL - LOS ANGELES,CA,,,,,
,MEMORIALCARE LONG BEACH MEDICAL CENTER,CA,,,,,
,NORTHRIDGE HOSPITAL MEDICAL CENTER,CA,,,,,
,POMONA VALLEY HOSPITAL MEDICAL CENTER,CA,,,,,
,PIH HEALTH HOSPITAL- WHITTIER,CA,,,,,
,PROVIDENCE HOLY CROSS MEDICAL CENTER,CA,,,,,
,SHERMAN OAKS HOSPITAL,CA,,,,,
,ST. FRANCIS MEDICAL CENTER,CA,,,,,
,ST. MARY MEDICAL CENTER,LONG BEACH,,,,,
,TOM REDGATE MEMORIAL RECOVERY CENTER,CA,,,,,
,TORRANCE MEMORIAL MEDICAL CENTER,CA,,,,,
,USC KENNETH NORRIS,LOS ANGELES,,,,,
,VALLEY PRESBYTERIAN HOSPITAL,CA,,,,,
,ADVENTIST HEALTH WHITE MEMORIAL MEDICAL CENTER,CA,,,,,
,SUTTER LAKESIDE HOSPITAL,CA,,,,,
,THE BETTY FORD CENTER,CA,,,,,
,KAISER FND HOSP - RIVERSIDE,CA,,,,,
,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,CA,,,,,
,PACIFIC GROVE HOSPITAL,CA,,,,,
,CHILDRENS RECOVERY CENTER OF NORTHERN CALIFORNIA,CA,,,,,
,STANFORD HEALTH CARE,CA,,,,,
,MENLO PARK SURGICAL HOSPITAL,CA,,,,,
,MILLS HEALTH CENTER,CA,,,,,
,MERCY MEDICAL CENTER - REDDING,CA,,,,,
,KAISER FND HOSP - ROSEVILLE,CA,,,,,
,SUTTER ROSEVILLE MEDICAL CENTER,CA,,,,,
,KAISER FND HOSP - SAN RAFAEL,CA,,,,,
,MEMORIAL HOSPITAL LOS BANOS,CA,,,,,
,CLOVIS COMMUNITY MEDICAL CENTER,CA,,,,,
,MARSHALL MEDICAL CENTER (1-RH),CA,,,,,
,JOHN MUIR BEHAVIORAL HEALTH CENTER,CA,,,,,
,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,CA,,,,,
,COLUSA REGIONAL MEDICAL CENTER,CA,,,,,
,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,CA,,,,,
,MERCY HOSPITAL - BAKERSFIELD,CA,,,,,
,MERCY SOUTHWEST HOSPITAL,CA,,,,,
,KAISER FND HOSP - SOUTH SACRAMENTO,CA,,,,,
,MERCY HOSPITAL - FOLSOM,CA,,,,,
,MERCY SAN JUAN HOSPITAL,CA,,,,,
,METHODIST HOSPITAL OF SACRAMENTO,CA,,,,,
,SUTTER MEDICAL CENTER,SACRAMENTO,,,,,
,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,CA,,,,,
,GENERAL HOSPITAL,EUREKA,,,,,
,GLENN MEDICAL CENTER,CA,,,,,
,FAIRCHILD MEDICAL CENTER,CA,,,,,
,ST MARYS HOSPITAL AND MEDICAL CENTER,CO,,,,,
,MERCY MEDICAL CENTER MT. SHASTA,MOUNT SHASTA,,,,,
,COMMUNITY HOSPITAL MONTEREY PENINSULA,CA,,,,,
,AHMC ANAHEIM REGIONAL MEDICAL CENTER,CA,,,,,
,SOUTH COAST GLOBAL MEDICAL CENTER,CA,,,,,
,MISSION HOSPITAL LAGUNA BEACH,CA,,,,,
,MISSION HOSPITAL REGIONAL MEDICAL CENTER,CA,,,,,
,MEMORIALCARE SADDLEBACK MEDICAL CENTER,CA,,,,,
,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,CA,,,,,
,MEMORIAL HOSPITAL MEDICAL CENTER - MODESTO,CA,,,,,
,LOWER CONEE COMMUNITY HOSPITAL,GA,,,,,
,ADVENTHEALTH GORDON HOSPITAL,GA,,,,,
,GRADY MEMORIAL HOSPITAL,ATLANTA,,,,,
,SAINT JOSEPHS HOSPITAL OF ATLANTA,GA,,,,,
,PIEDMONT NEWNAN HOSPITAL,GA,,,,,
,WELLSTAR KENNESTONE HOSPITAL,GA,,,,,
,WELLSTAR WINDY HILL HOSPITAL,GA,,,,,
,NORTHSIDE HOSPITAL FORSYTH,GA,,,,,
,FLOYD MEDICAL CENTER,GA,,,,,
,FLOYD MEDICAL CENTER,GA,,,,,
,ST FRANCIS HOSPITAL,GA,,,,,
,DONALSONVILLE HOSPITAL,GA,,,,,
,CHILDRENS HEALTHCARE OF ATLANTA - EGLESTON,GA,,,,,
,EMORY HILLANDALE HOSPITAL,GA,,,,,
,WELLSTAR DOUGLAS HOSPITAL,GA,,,,,
,LAFAYETTE GENERAL MEDICAL CENTER,LA,,,,,
,OUR LADY OF LOURDES REGIONAL MEDICAL CENTER,LA,,,,,
,LAFAYETTE BEHAVIORAL HEALTH UNIT,LA,,,,,
,OCHSNER BAPTIST MEDICAL CENTER,LA,,,,,
,ST. FRANCIS MEDICAL CENTER,LA,,,,,
,MADISON PARISH HOSPITAL,LA,,,,,
,NORTHERN LOUISIANA MEDICAL CENTER,LA,,,,,
,UNION GENERAL HOSPITAL,LA,,,,,
,ST. HELENA PARISH HOSPITAL,LA,,,,,
,SPRINGHILL MEDICAL CENTER,LA,,,,,
,BATON ROUGE GENERAL MEDICAL CENTER (MID-CITY),LA,,,,,
,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,LA,,,,,
,WALTER OLIN MOSS REGIONAL MEDICAL CENTER,LA,,,,,
,CHRISTUS HEALTH - SHREVEPOR-BOSSIER,LA,,,,,
,CHRISTUS SCHUMPERT MEDICAL CENTER,LA,,,,,
,SHRINERS HOSPITALS FOR CHILDREN-SHREVEPORT,LA,,,,,
,ST VINCENT HSPTL,WI,,,,,
,UNITYPOINT HEALTH-MERITER CHILD AND ADOLESCENT PSYCH HOSPITAL,WI,,,,,
,WAUPUN MEM HSPTL,WI,,,,,
,ST MARYS HSPTL MED CTR,WI,,,,,
,ST JOSEPHS HSPTL,WI,,,,,
,RIPON MED CTR,WI,,,,,
,LIFECARE HOSPITALS OF SHREVEPORT,LA,,,,,
,UNIVERSITY OF WI HOSPITALS & CLINICS AUTHORITY,WI,,,,,
,WATERTOWN REGIONAL MEDICAL CTR,WI,,,,,
,SOUTHWEST HEALTH CENTER INC,WI,,,,,
,THE MONROE CLINIC,WI,,,,,
,ROGERS MEM HOSPITAL MILWAUKEE,WI,,,,,
,ROGERS MEM HSPTL,WI,,,,,
,THEDACARE MEDICAL CENTER - WAUPACA INC,WI,,,,,
,CHILDREN'S HOSPITAL OF ORANGE COUNTY,CA,,,,,
,UW HEALTH REHABILITATION HOSPITAL,WI,,,,,
,SUTTER SANTA ROSA REGIONAL HOSPITAL,CA,,,,,
,SUNCOAST BEHAVIORAL HEALTH CENTER,FL,,,,,
,SELECT SPECIALITY HOSPITAL OF MIAMI,FL,,,,,
,BAYLOR ST LUKES MEDICAL CENTER - MCNAIR CAMPUS,TX,,,,,
,ALTUS HOUSTON HOSPITAL,6011 W SAM HOUSTON PKWY SOUTH,,,,,
,GEARY COMMUNITY HOSPITAL,KS,,,,,
,IOWA CITY VA MEDICAL CENTER,IA,,,,,
,SOUTH PLAINS REHAB HOSPITAL,LUBBOCK,,,,,
,NEA BAPTIST MEMORIAL HEALTH,AR,,,,,
,PIKE COUNTY MEMORIAL HOSPITAL,AR,,,,,
,BAXTER REGIONAL MEDICAL CENTER,AR,,,,,
,FULTON COUNTY HOSPITAL,AR,,,,,
,ST. MARY'S REGIONAL MEDICAL CENTER,AR,,,,,
,ARKANSAS METHODIST MEDICAL CENTER,AR,,,,,
,WHITE RIVER MEDICAL CENTER,AR,,,,,
,ST LUKE HOSPITAL,KS,,,,,
,SOUTHCOAST BEHAVIORAL HEALTH,MA,,,,,
,REGENCY HOSPITAL OF NORTHWEST ARKANSAS,AR,,,,,
,WASHINGTON REGIONAL MEDICAL CENTER,AR,,,,,
,NORTHWEST MEDICAL CENTER - BENTONVILLE,AR,,,,,
,ST. MARY - ROGERS MEMORIAL HOSPITAL,AR,,,,,
,ACUITY SPECIALTY HOSPITAL OF ARIZONA AT SUN CITY,AZ,,,,,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTHWEST TUCSON,AZ,,,,,
,THE MEDICAL CENTER AT ALBANY,KY,,,,,
,JANE TODD CRAWFORD MEMORIAL HOSPITAL,KY,,,,,
,NICHOLAS COUNTY HOSPITAL,KY,,,,,
,HOWARD MEMORIAL HOSPITAL,AR,,,,,
,ST. ELIZABETH OWEN,KY,,,,,
,ST. ELIZABETH'S MEDICAL CENTER,MA,,,,,
,NORTHAMPTON VA MEDICAL CENTER,MA,,,,,
,LOWELL GENERAL HOSPITAL,MA,,,,,
,TAUNTON STATE HOSPITAL,TAUNTON,,,,,
,TEWKSBURY HOSPITAL,MA,,,,,
,UNIVERSITY OF MD CHARLES REGIONAL MEDICAL CENTER,MD,,,,,
,MEDSTAR MONTGOMERY MEDICAL CENTER,MD,,,,,
,LAUREL REGIONAL MEDICAL CENTER,MD,,,,,
,SAINT LUKE INSTITUTE,MD,,,,,
,NORTHERN LIGHT ACADIA HOSPITAL,ME,,,,,
,AROOSTOOK MEDICAL CENTER - COMMUNITY GENERAL DIVISION,ME,,,,,
,NORTHERN LIGHT BLUE HILL MEMORIAL HOSPITAL,ME,,,,,
,CALAIS REGIONAL HOSPITAL,ME,,,,,
,CHARLES A DEAN MEMORIAL HOSPITAL,ME,,,,,
,MERCY WESTBROOK,ME,,,,,
,SCHEURER HOSPITAL,MI,,,,,
,HARBOR BEACH COMMUNITY HOSPITAL,MI,,,,,
,SPARROW CLINTON HOSPITAL,MI,,,,,
,PAUL OLIVER MEMORIAL HOSPITAL,MI,,,,,
,SPARROW CARSON HOSPITAL,MI,,,,,
,SPECTRUM HEALTH GERBER MEMORIAL,MI,,,,,
,SPECTRUM HEALTH BIG RAPIDS HOSPITAL,MI,,,,,
,SPECTRUM HEALTH REED CITY CAMPUS,REED CITY,,,,,
,MIDMICHIGAN MEDICAL CENTER-CLARE,MI,,,,,
,THREE RIVERS HEALTH,MI,,,,,
,COVENANT MEDICAL CENTER,SAGINAW,,,,,
,COVENANT MEDICAL CENTER,SAGINAW,,,,,
,HUTZEL WOMEN'S HOSPITAL,MI,,,,,
,CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL,MI,,,,,
,BARAGA COUNTY MEMORIAL HOSPITAL,MI,,,,,
,ST JOSEPH MERCY HOSPITAL-SALINE,MI,,,,,
,LAKELAND SPECIALTY HOSPITAL AT BERRIEN CENTER,MI,,,,,
,SWIFT COUNTY BENSON HOSPITAL,MN,,,,,
,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,MO,,,,,
,NORTH KANSAS CITY HOSPITAL,MO,,,,,
,MOSAIC MEDICAL CENTER,MO,,,,,
,MISSOURI BAPTIST MEDICAL CENTER,MO,,,,,
,LEE'S SUMMIT MEDICAL CENTER,MO,,,,,
,CASS REGIONAL MEDICAL CENTER,MO,,,,,
,PROGRESS WEST HEALTHCARE CENTER,MO,,,,,
,CAPITAL REGION MEDICAL CENTER,MO,,,,,
,SCOTLAND COUNTY HOSPITAL,MO,,,,,
,SSM HEALTH CARDINAL GLENNON CHILDREN'S MEDICAL CENTER,MO,,,,,
,MERCY ST. FRANCIS HOSPITAL,MO,,,,,
,COX MEDICAL CENTER BRANSON,BRANSON,,,,,
,NORTHEAST REGIONAL MEDICAL CENTER,MO,,,,,
,LANDMARK HOSPITAL OF COLUMBIA,COLUMBIA,,,,,
,METROPOLITAN ST. LOUIS PSYCHIATRIC CENTER,MO,,,,,
,PERRY POINT VA MEDICAL CENTER,MD,,,,,
,OSCAR G. JOHNSON VA MEDICAL CENTER,MI,,,,,
,PIKE COUNTY MEMORIAL HOSPITAL,MO,,,,,
,SOUTHEASTHEALTH,MO,,,,,
,LANDMARK HOSPITAL OF CAPE GIRARDEAU,MO,,,,,
,LAKE REGIONAL HEALTH SYSTEM,MO,,,,,
,BLACK RIVER COMMUNITY MEDICAL CENTER,MO,,,,,
,POPLAR BLUFF REGIONAL MEDICAL CENTER - WESTWOOD,MO,,,,,
,CHEYENNE RIVER HOSPITAL,SD,,,,,
,JASPER GENERAL HOSPITAL,MS,,,,,
,WHITE FENCE SURGICAL SUITES,OH,,,,,
,NOVANT HEALTH FORSYTH MEDICAL CENTER,NC,,,,,
,FRANKLIN REGIONAL MEDICAL CENTER,NC,,,,,
,CENTRAL CAROLINA HOSPITAL,NC,,,,,
,GRANVILLE HEALTH SYSTEM,NC,,,,,
,CAROLINAS MEDICAL CENTER-MERCY,NC,,,,,
,CAROLINAS HEALTHCARE SYSTEM PINEVILLE,NC,,,,,
,ANGEL MEDICAL CENTER,NC,,,,,
,HIGHLANDS-CASHIERS HOSPITAL,NC,,,,,
,WESLEY LONG COMMUNITY HOSPITAL,NC,,,,,
,HARRIS REGIONAL HOSPITAL,NC,,,,,
,WAYNE UNC HEALTHCARE,NC,,,,,
,CORDOVA COMMUNITY MEDICAL CENTER,AK,,,,,
,MARIA PARHAM MEDICAL CENTER,NC,,,,,
,WATAUGA MEDICAL CENTER,BOONE,,,,,
,NORTHERN HOSPITAL OF SURRY COUNTY,NC,,,,,
,HUGH CHATHAM MEMORIAL HOSPITAL,ELKIN,,,,,
,ALLEGHANY MEMORIAL HOSPITAL,NC,,,,,
,ALAMANCE REGIONAL MEDICAL CENTER,NC,,,,,
,ASHE MEMORIAL HOSPITAL,JEFFERSON,,,,,
,ST. LUKE'S HOSPITAL,NC,,,,,
,CATAWBA VALLEY MEDICAL CENTER,NC,,,,,
,SCOTLAND MEMORIAL HOSPITAL AND EDWIN MORGAN CENTER,NC,,,,,
,BLUE RIDGE REGIONAL HOSPITAL,SPRUCE PINE,,,,,
,FIRSTHEALTH MONTGOMERY MEMORIAL HOSPITAL,NC,,,,,
,THE OUTER BANKS HOSPITAL,NC,,,,,
,ONSLOW MEMORIAL HOSPITAL,NC,,,,,
,CRAWLEY MEMORIAL HOSPITAL,NC,,,,,
,ST ANDREWS HEALTH CENTER - CAH,ND,,,,,
,WEST RIVER REGIONAL MEDICAL CENTER-CAH,ND,,,,,
,LINTON HOSPITAL - CAH,ND,,,,,
,SOUTHWEST HEALTHCARE SERVICES,ND,,,,,
,VIBRA HOSPITAL OF FARGO,ND,,,,,
,SANFORD MEDICAL CENTER FARGO,ND,,,,,
,NAVAL HOSPITAL CAMP LEJEUNE,NC,,,,,
,P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,ND,,,,,
,ST ALOISIUS MEDICAL CENTER,ND,,,,,
,TRINITY HOSPITAL - SAINT JOSEPHS,ND,,,,,
,ST JOSEPH'S HOSPITAL AND HEALTH CENTER,ND,,,,,
,ALTRU SPECIALTY HOSPITAL,ND,,,,,
,LA PAZ REGIONAL,AZ,,,,,
,CORE INSTITUTE SPECIALTY HOSPITAL,AZ,,,,,
,VALLEY HOSPITAL,AZ,,,,,
,YALE-NEW HAVEN HOSPITAL,CT,,,,,
,HENRY COUNTY MEMORIAL HOSPITAL,IN,,,,,
,BRYAN MEDICAL CENTER,NE,,,,,
,COMMUNITY HOWARD SPECIALTY HOSPITAL,IN,,,,,
,GULF BREEZE HOSPITAL,FL,,,,,
,CAPITAL REGIONAL MEDICAL CENTER,FL,,,,,
,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,FL,,,,,
,ENCOMPASS HEALTH REHABILITATION INSTITUTE OF TUCSON,AZ,,,,,
,WEST FLORIDA HOSPITAL,FL,,,,,
,BAPTIST MEDICAL CENTER - BEACHES,FL,,,,,
,MAYO CLINIC,FL,,,,,
,RIVER POINT BEHAVIORAL HEALTH,FL,,,,,
,WEKIVA SPRINGS,FL,,,,,
,ASSENSION SACRED HEART HOSPITAL ON EMERALD COAST,FL,,,,,
,CALHOUN-LIBERTY HOSPITAL,FL,,,,,
,BAPTIST MEDICAL CENTER - NASSAU,FL,,,,,
,HALE HO'OLA HAMAKUA,HI,,,,,
,BLUE MOUNTAIN HOSPITAL GNADEN HUETTEN,PA,,,,,
,WASHINGTON HOSPITAL,PA,,,,,
,WAYNE MEMORIAL HOSPITAL,PA,,,,,
,INCLINE VILLAGE HEALTH CENTER,NV,,,,,
,BUTLER MEMORIAL HOSPITAL,PA,,,,,
,WERNERSVILLE STATE HOSPITAL,PA,,,,,
,MEMORIAL HOSPITAL - YORK,YORK,,,,,
,TYLER MEMORIAL HOSPITAL,PA,,,,,
,UPMC BEDFORD,PA,,,,,
,SELECT SPECIALTY HOSPITAL PITTSBRGH UPMC,PA,,,,,
,MARTIN COUNTY HOSPITAL DISTRICT,TX,,,,,
,AVERA ST ANTHONY'S HOSPITAL,NE,,,,,
,SELECT SPECIALTY HOSPITAL MCKEESPORT,PA,,,,,
,HERITAGE VALLEY SEWICKLEY,PA,,,,,
,SOUTHWOOD PSYCHIATRIC HOSPITAL,PA,,,,,
,WESTERN PENNSYLVANIA HOSPITAL,PA,,,,,
,CLARION PSYCHIATRIC CENTER,PA,,,,,
,BERWICK HOSPITAL CENTER,PA,,,,,
,SOUTH LYON MEDICAL CENTER,NV,,,,,
,CHESTNUT HILL HOSPITAL,PA,,,,,
,MAGEE REHABILITATION HOSPITAL,PA,,,,,
,PENNSYLVANIA HOSPITAL,PA,,,,,
,BROWN COUNTY HOSPITAL,NE,,,,,
,NAZARETH HOSPITAL,PA,,,,,
,ROXBOROUGH MEMORIAL HOSPITAL,PA,,,,,
,MEADOWS PSYCHIATRIC CENTER,PA,,,,,
,UNION HOSPITAL,OH,,,,,
,MEMORIAL HOSPITAL OF UNION COUNTY,OH,,,,,
,MOUNT NITTANY MEDICAL CENTER,PA,,,,,
,CONEMAUGH MINERS MEDICAL CENTER,HASTINGS,,,,,
,BRANDYWINE HOSPITAL,PA,,,,,
,CHESTER COUNTY HOSPITAL,PA,,,,,
,GROVER C DILS MEDICAL CENTER,NV,,,,,
,DEVEREUX CHILDRENS BEHAVIORAL HEALTH CENTER,MALVERN,,,,,
,PHOENIXVILLE HOSPITAL,PHOENIXVILLE,,,,,
,COATESVILLE VETERANS AFFAIRS MEDICAL CENTER,PA,,,,,
,BATTLE MOUNTAIN GENERAL HOSPITAL,NV,,,,,
,MOUNT GRANT GENERAL HOSPITAL,NV,,,,,
,NYE REGIONAL MEDICAL CENTER,NV,,,,,
,BENSON HOSPITAL,AZ,,,,,
,JOHN HEINZ INSTITUTE OF REHABILITATION,PA,,,,,
,NORTHERN COCHISE COMMUNITY HOSPITAL,WILLCOX,,,,,
,LEHIGH VALLEY HOSPITAL-MUHLENBERG,PA,,,,,
,UPMC JAMESON,PA,,,,,
,SAINT LUKE'S NORTHLAND HOSPITAL - BARRY ROAD,MO,,,,,
,KEARNEY COUNTY HEALTH SERVICES HOSPITAL,NE,,,,,
,SUNBURY COMMUNITY HOSPITAL,PA,,,,,
,LANCASTER BEHAVIORAL HEALTH HOSPITAL,PA,,,,,
,NORRISTOWN STATE HOSPITAL,PA,,,,,
,MOSES TAYLOR HOSPITAL,PA,,,,,
,HOLZER MEDICAL CENTER,OH,,,,,
,BEVERLY CAMPUS BEVERLY CAMPUS,MA,,,,,
,NORTH SHORE MEDICAL CENTER - SALEM CAMPUS,MA,,,,,
,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,AZ,,,,,
,REGIONAL HOSPITAL OF SCRANTON,PA,,,,,
,UPMC LITITZ,PA,,,,,
,UPMC PINNACLE LANCASTER,LANCASTER,,,,,
,ST MARY'S VINCENT EVANSVILLE INC,IN,,,,,
,KINGMAN REGIONAL MEDICAL CENTER-HUALAPAI MOUNTAIN CAMPUS,AZ,,,,,
,COASTAL BEHAVIORAL HEALTH,GA,,,,,
,BLACK HILLS SURGERY CENTER LIMITED LIABILITY PARTNERSHIP,SD,,,,,
,MELROSEWKFLD HEALTHCARE LAWRENCE MEMORIAL HOSPITAL CAMPUS,MA,,,,,
,AVERA HEART HOSPITAL OF SOUTH DAKOTA,SD,,,,,
,COMMUNITY HOSPITALS AND WELLNESS CENTERS BRYAN,OH,,,,,
,UVA TRANSITIONAL CARE HOSPITAL,VA,,,,,
,CHILDRENS HOSP & CLINICS MINNE,MN,,,,,
,PARK NICOLLET METHODIST HOSP,ST LOUIS PARK,,,,,
,SAINT JOSEPH HOSPITAL,ME,,,,,
,SOUTHWESTERN VIRGINIA MENTAL HEALTH INSTITUTE,VA,,,,,
,GRAND ITASCA CLINIC & HOSP,MN,,,,,
,PEMBINA COUNTY MEMORIAL HOSPITAL,ND,,,,,
,MCLEOD SEACOAST,SC,,,,,
,HENDRICKS COMM HOSP,MN,,,,,
,SANFORD TRACY MEDICAL CENTER,MN,,,,,
,MEMORIAL HOSPITAL OF WILLIAM AND GERTRUDE JONES HOSPITAL,NY,,,,,
,CARL ALBERT COMMUNITY MENTAL HEALTH CENTER,OK,,,,,
,LOWER UMPQUA HOSPITAL DISTRICT,OR,,,,,
,ST CHARLES MEDICAL CENTER REDMOND,OR,,,,,
,COLUMBIA MEMORIAL HOSPITAL,NY,,,,,
,RIVERSIDE REHABILITATION INSTITUTE,VA,,,,,
,LAKE DISTRICT HOSPITAL,OR,,,,,
,SKY LAKES MEDICAL CENTER,OR,,,,,
,RESTON HOSPITAL CENTER,VA,,,,,
,SOUTHWESTERN VERMONT MEDICAL CENTER,VT,,,,,
,DRISCOLL CHILDREN'S HOSPITAL,TX,,,,,
,DAYTON VA MEDICAL CENTER,OH,,,,,
,HAMPTON VA MEDICAL CENTER,VA,,,,,
,GRANDE RONDE HOSPITAL,OR,,,,,
,WEST VALLEY HOSPITAL,OR,,,,,
,CENTRAL WASHINGTON HOSPITAL,WA,,,,,
,WILLAMETTE VALLEY MEDICAL CENTER,OR,,,,,
,GOOD SAMARITAN REGIONAL MEDICAL CENTER,OR,,,,,
,KNOX COUNTY HOSPITAL,TX,,,,,
,GUTHRIE CORNING HOSPITAL,NY,,,,,
,SAINT ANTHONY MEDICAL CENTER,IL,,,,,
,PECONIC BAY MEDICAL CENTER,NY,,,,,
,CARDINAL HILL REHABILITATION HOSPITAL,KY,,,,,
,GIBSON COMMUNITY HOSPITAL,IL,,,,,
,GRAHAM HOSPITAL ASSOCIATION,IL,,,,,
,UNIVERSITY OF MD SHORE MEDICAL CTR AT CHESTERTOWN,MD,,,,,
,TMC BONHAM HOSPITAL,TX,,,,,
,GOODALL-WITCHER HOSPITAL,TX,,,,,
,SARAH BUSH LINCOLN HEALTH CENTER,MATTOON,,,,,
,MITCHELL COUNTY HOSPITAL,TX,,,,,
,ELECTRA MEMORIAL HOSPITAL,TX,,,,,
,HASKELL MEMORIAL HOSPITAL,TX,,,,,
,NORTHWEST HOSPITAL CENTER,MD,,,,,
,BAPTIST MEMORIAL HOSPITAL,TN,,,,,
,ALEXIAN BROTHERS BEHAVIORAL HEALTH HOSPITAL,IL,,,,,
,AURORA CHICAGO LAKESHORE HOSPITAL,CHICAGO,,,,,
,SWEENY COMMUNITY HOSPITAL,TX,,,,,
,RML HEALTH PROVIDERS LTD PARTNERSHIP - DBA RML HINSDALE,IL,,,,,
,SCHWAB REHABILITATION CENTER,IL,,,,,
,KINDRED HOSPITAL - CENTRAL CHICAGO,IL,,,,,
,COLLINGSWORTH GENERAL HOSPITAL,TX,,,,,
,EDWARD HINES JR. VETERANS AFFAIRS HOSPITAL,IL,,,,,
,FOSTER G MCGAW HOSPITAL LOYOLA UNIVERSITY MEDICAL CENTER,IL,,,,,
,WARNER HOSPITAL AND HEALTH SERVICES,IL,,,,,
,SUMMERS COUNTY ARH HOSPITAL,HINTON,,,,,
,NORTON HOSPITAL,KY,,,,,
,SOUTH CAROLINA SEXUALLY VIOLENT PREDATOR TREATMENT PROGRAM,SC,,,,,
,STONEWALL JACKSON MEMORIAL HOSPITAL,WV,,,,,
,PRESTON MEMORIAL HOSPITAL,WV,,,,,
,ST JOHNS HOSPITAL,IL,,,,,
,MONROE COUNTY MEDICAL CENTER,KY,,,,,
,SAINT JOSEPH MOUNT STERLING,KY,,,,,
,GRAFTON CITY HOSPITAL,WV,,,,,
,ST. LUKE'S HOSPITAL - WARREN CAMPUS,NJ,,,,,
,HACKETTSTOWN REGIONAL MEDICAL CENTER,NJ,,,,,
,LITTLE HILL ALINA LODGE,NJ,,,,,
,ELKVIEW GENERAL HOSPITAL,OK,,,,,
,EASTERN OKLAHOMA MEDICAL CENTER,OK,,,,,
,EDMOND -AMG SPECIALTY HOSPITAL,OK,,,,,
,KATHERINE SHAW BETHEA HOSPITAL,IL,,,,,
,SAINT JAMES HOSPITAL,IL,,,,,
,LAKESIDE WOMEN'S HOSPITAL,OK,,,,,
,INTEGRIS HEALTH EDMOND,OK,,,,,
,NORTHWEST SURGICAL HOSPITAL,OK,,,,,
,MCBRIDE ORTHOPEDIC HOSPITAL,OK,,,,,
,CARROLL COUNTY MEMORIAL HOSPITAL,KY,,,,,
,LAKE CUMBERLAND REGIONAL HOSPITAL,KY,,,,,
,SURGICAL HOSPITAL OF OKLAHOMA,OK,,,,,
,CEDAR RIDGE,OK,,,,,
,ST MARYS HOSPITAL,IL,,,,,
,COMMUNITY MEMORIAL HOSPITAL,IL,,,,,
,ALTON MEMORIAL HOSPITAL,IL,,,,,
,OSF SAINT ANTHONY'S HEALTH CENTER,IL,,,,,
,UNIVERSITY OF MD SHORE MEDICAL CENTER AT EASTON,MD,,,,,
,HUGGINS HOSPITAL,NH,,,,,
,OKLAHOMA HEART HOSPITAL,OK,,,,,
,THE CHILDREN'S CENTER,OK,,,,,
,SPEARE MEMORIAL HOSPITAL,NH,,,,,
,CRITTENDEN COUNTY HOSPITAL,KY,,,,,
,CARROLL HOSPITAL CENTER,MD,,,,,
,KENTUCKY CORRECTIONAL PSYCHIATRIC CENTER,KY,,,,,
,PAULS VALLEY GENERAL HOSPITAL,OK,,,,,
,PURCELL MUNICIPAL HOSPITAL,OK,,,,,
,MERCY HEALTH -LOVE COUNTY,OK,,,,,
,UNIVERSITY OF MD SHORE MEDICAL CTR AT DORCHESTER,MD,,,,,
,MERCY HOSPITAL LOGAN COUNTY,OK,,,,,
,PRAGUE COMMUNITY HOSPITAL,OK,,,,,
,STROUD REGIONAL MEDICAL CENTER,OK,,,,,
,MARIANJOY REHABILITATION CENTER,IL,,,,,
,JEFFERSON COUNTY HOSPITAL,OK,,,,,
,HOLDENVILLE GENERAL HOSPITAL,OK,,,,,
,ATLANTIC GENERAL HOSPITAL,MD,,,,,
,HARMON MEMORIAL HOSPITAL,OK,,,,,
,NORTHWESTERN MEDICAL CENTER,VT,,,,,
,ROPER ST FRANCIS BERKELEY HOSPITAL,SC,,,,,
,NEMOURS CHILDREN'S HOSPITAL,FL,,,,,
,ST. JOSEPH MEDICAL CENTER,TX,,,,,
,HCA HOUSTON HEALTHCARE NORTHWEST MEDICAL CENTER,TX,,,,,
,MEMORIAL HERMANN GREATER HEIGHTS HOSPITAL,TX,,,,,
,MERCY HOSPITAL TISHOMINGO,OK,,,,,
,MONTANA STATE HOSPITAL,MT,,,,,
,PINNACLE REGIONAL HOSPITAL INC,KS,,,,,
,CHI ST LUKES HEALTH - BRAZOSPORT,TX,,,,,
,DOCTORS HOSPITAL OF LAREDO,TX,,,,,
,CHI ST LUKES HEALTH - MEMORIAL LIVINGSTON,TX,,,,,
,FLOYD VALLEY HOSPITAL,IA,,,,,
,LIFECARE HOSPITALS OF SOUTH TEXAS - MCALLEN NORTH,TX,,,,,
