Health System,Hospital,URL
,MINDEN FAMILY MEDICINE AND COMPLETE CARE,
,HAMILTON MEMORIAL HOSPITAL DISTRICT,
,MARSHALL BROWNING HOSPITAL,
,FERRELL HOSPITAL COMMUNITY FOUNDATIONS,
,PERRY MEMORIAL HOSPITAL,
,HOPEDALE MEDICAL COMPLEX,
,SPARTA COMMUNITY HOSPITAL,
,MC DONOUGH DISTRICT HOSPITAL,
,ALLIANCEHEALTH MIDWEST,
,INTEGRIS DEACONESS,
,CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,
,SAINT FRANCIS HOSPITAL MUSKOGEE,
,LINDSAY MUNICIPAL HOSPITAL,
,EDWARD HOSPITAL,
,COMMUNITY MEMORIAL HOSPITAL,
,PAM SPECIALTY HOSPITAL OF TULSA,
,HURON REGIONAL MEDICAL CENTER,
,FRANKLIN HOSPITAL,
,CLAY COUNTY HOSPITAL,
,LAWRENCE COUNTY MEMORIAL HOSPITAL,
,COMMUNITY HOSPITAL,
,CARLINVILLE AREA HOSPITAL,
,PROVIDENCE SEWARD MEDICAL CENTER,
,WRANGELL MEDICAL CENTER,
,MACON COUNTY GENERAL HOSPITAL,
,DELTA MEDICAL CENTER,
,BEEBE MEDICAL CENTER,
,JACKSON - MADISON COUNTY GENERAL HOSPITAL,
,SISKIN HOSPITAL FOR PHYSICAL REHABILITATION,
,ADVANCED CARE HOSPITAL OF MONTANA,
,ST. FRANCIS HOSPITAL,
,PERRY COMMUNITY HOSPITAL,
,COOKEVILLE REGIONAL MEDICAL CENTER,
,WEST TENNESSEE HEALTHCARE REHABILITATION HOSPITAL,
,KANSAS MEDICAL CENTER LLC,
,ADVANTHEALTH OTTAWA RANSOM MEMORIAL HOSPITAL,
,LOGAN COUNTY HOSPITAL,
,NESS COUNTY HOSPITAL,
,ST CATHERINE HOSPITAL,
,SUMMIT SURGICAL LLC,
,CASTLE MEDICAL CENTER,
,PROFESSIONAL HOSP INC - MANATI,
,HOSP SAN ANTONIO INC,
,F. W. HUSTON MEDICAL CENTER,
,GOVE COUNTY MEDICAL CENTER,
,STAFFORD COUNTY HOSPITAL,
,THE KANSAS REHABILITATION HOSPITAL,
,WILLIAM NEWTON HOSPITAL,
,SUMNER COMMUNITY HOSPITAL,
,HOSP METROPOLITANO DE SAN GERMAN,
,HOSP INDUSTRIAL C.F.S.E.,
,HOSP PAVIA SANTURCE,
,CPC HOSP SAN JUAN CAPESTRANO,
,HOSP MUNICIPAL DE SAN JUAN DR RAFAEL LOPEZ NUSSA,
,CENTRO DE SALUD COMUNAL DE CULEBRA,
,NORTON HEALTHCARE PAVILION,
,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,
,COMMONWEALTH HEALTH CENTER,
,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,
,BAYLOR EMERGENCY MEDICAL CENTER AT AUBREY,
,ASCENSION SETON MEDICAL CENTER AUSTIN,
,CARE REGIONAL MEDICAL CENTER,
,ABILENE REGIONAL MEDICAL CENTER,
,CHRISTUS ST MICHAEL HOSPITAL - ATLANTA,
,BAPTIST HOSPITALS OF SOUTHEAST TEXAS,
,CENTRAL HOSPITAL OF BOWIE,
,STEPHENS MEMORIAL HOSPITAL,
,DIMMIT COUNTY MEMORIAL HOSPITAL,
,CONSULATE HEALTH CARE OF PENSACOLA,
,NAVARRO REGIONAL HOSPITAL,
,COON MEMORIAL HOSPITAL AND HOME,
,SELECT SPECIALTY HOSPITAL - SOUTH DALLAS,
,CHILDREN'S MEDICAL CENTER OF DALLAS,
,PARKLAND MEMORIAL HOSPITAL,
,PINE CREEK MEDICAL CENTER,
,THE RENFREW CENTER OF FLORIDA,
,HIGH POINT TREATMENT CENTER,
,UNIVERSITY PAVILION - PSYCHIATRIC HOSPITAL,
,LAS PALMAS MEDICAL CENTER,
,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST FORT WORTH,
,BAYLOR SCOTT & WHITE MEDICAL CENTER - CENTENNIAL,
,GLEN ROSE MEDICAL CENTER,
,HCA HOUSTON HEALTHCARE WEST,
,SHRINERS HOSPITALS FOR CHILDREN,
,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,
,HCA HOUSTON HEALTHCARE MEDICAL CENTER,
,TRIUMPH HOSPITAL CENTRAL HOUSTON,
,ST. LUKE'S HOSPITAL AT THE VINTAGE,
,TOWNSEN MEMORIAL HOSPITAL,
,MEDICAL CITY LAS COLINAS,
,UT HEALTH EAST TEXAS JACKSONVILLE,
,METHODIST HOSPITAL SOUTH,
,MEMORIAL HERMANN SPECIALTY HOSPITAL KINGWOOD,
,MEDICAL ARTS HOSPITAL,
,GRACE MEDICAL CENTER,
,PARKVIEW REGIONAL HOSPITAL,
,VIBRA HOSPITAL OF SPRINGFIELD,
,FAYETTE COUNTY HOSPITAL,
,BAYLOR SCOTT & WHITE MEDICAL CENTER - PLANO,
,REFUGIO COUNTY MEMORIAL HOSPITAL DISTRICT,
,STARR COUNTY MEMORIAL HOSPITAL,
,SOUTHCROSS HOSPITAL SAN ANTONIO,
,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE,
,HOUSTON METHODIST SUGAR LAND HOSPITAL,
,HCA HOUSTON HEALTHCARE MAINLAND MEDICAL CENTER,
,ST. LUKE'S THE WOODLANDS HOSPITAL,
,ST. LUKE'S LAKESIDE HOSPITAL,
,WASHINGTON COUNTY HOSPITAL,
,BAYLOR MEDICAL CENTER AT TROPHY CLUB,
,BAYLOR MEDICAL CENTER AT WAXAHACHIE,
,OAKBEND MEDICAL CENTER WHARTON CAMPUS,
,TYLER COUNTY HOSPITAL,
,ALTUS LUMBERTON LP,
,MEDICAL CITY FRISCO,
,HEREFORD REGIONAL MEDICAL CENTER,
,WESTSIDE SURGICAL HOSPTIAL,
,METROPOLITAN METHODIST HOSPITAL,
,BAPTIST EMERGENCY HOSPITAL - OVERLOOK,
,BAPTIST EMERGENCY HOSPITAL - HAUSMAN,
,MATAGORDA REGIONAL MEDICAL CENTER,
,HCA HOUSTON HEALTHCARE PEARLAND MEDICAL CENTER,
,METHODIST RICHARDSON MEDICAL CENTER,
,LITTLE RIVER HEALTHCARE - CAMERON HOSPITAL,
,FIRST TEXAS HOSPITAL,
,SELECT SPECIALTY HOSPITAL - CLEVELAND FAIRHILL,
,KINGS DAUGHTERS MEDICAL CENTER OHIO,
,OAKBEND MEDICAL CENTER - WILLIAMS WAY,
,CHI ST LUKES HEALTH - SPRINGWOODS VILLAGE,
,LINDNER CENTER OF HOPE,
,MCCALLEN MEDICAL CENTER,
,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,
,BLUERIDGE VISTA HEALTH AND WELLNESS,
,SUMMIT BEHAVIORAL HEALTHCARE,
,BAYLOR EMERGENCY MEDICAL CENTER,
,SENTARA RMH MEDICAL CENTER,
,VALLEY HEALTH SHENANDOAH MEMORIAL HOSPITAL,
,ALLEN COUNTY REGIONAL HOSPITAL,
,CHEROKEE NATION W. W. HASTINGS HOSPITAL,
,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,
,CHOCTAW NATION INDIAN HOSPITAL (TALIHINA),
,99TH MEDICAL GROUP - MIKE O'CALLAGHAN FEDERAL MEDICAL CENTER,
,WILLIAM JENNINGS BRYAN DORN VA MEDICAL CENTER,
,NAVOS,
,FAITH REGIONAL HEALTH SERVICES EAST CAMPUS,
,SHERIDAN MEMORIAL HOSPITAL,
,WESTERVILLE MEDICAL CAMPUS,
,PINE VALLEY SPECIALTY HOSPITAL,
,HOUSTON METHODIST CONTINUING CARE HOSPITAL,
,KINDRED HOSPITAL BAY AREA,
,NEXUS SPECIALTY HOSPITAL-SHENANDOAH CAMPUS,
,PROMISE HOSPITAL OF DALLAS,
,PARIS REGIONAL MEDICAL CENTER - NORTH CAMPUS,
,OPTIM MEDICAL CENTER SCREVEN,
,KINDRED HOSPITAL SPRING,
,KINDRED HOSPITAL TOMBALL,
,CORNERSTONE SPECIALITY HOSPITAL AUSTIN - ROUND ROCK,
,MULESHOE AREA MEDICAL CENTER,
,LIFECARE HOSPITALS OF SAN ANTONIO,
,KOHALA HOSPITAL,
,AUSTIN STATE HOSPITAL,
,MILLWOOD HOSPITAL,
,BAYVIEW BEHAVIORAL HOSPITAL,
,EL PASO PSYCHIATRIC CENTER,
,RIVERSIDE GENERAL HOSPITAL,
,HARRIS COUNTY PSYCHIATRIC CENTER,
,CYPRESS CREEK HOSPITAL,
,RUSK STATE HOSPITAL,
,CLARITY CHILD GUIDANCE CENTER,
,TIMBERLAWN MENTAL HEALTH SYSTEM,
,CARROLLTON SPRINGS,
,TEXAS HEALTH SPRINGWOOD HOSPITAL HURST-EULESS-BEDFORD,
,WESTPARK SPRINGS,
,SOUTH TEXAS BEHAVIORAL HEALTH CENTER,
,BAPTIST HOSPITALS OF SOUTHEAST TEXAS FANNIN BEHAVIORAL CENTER,
,LANAI COMMUNITY HOSPITAL,
,LEAHI HOSPITAL,
,REHABILITATION HOSPITAL OF THE PACIFIC,
,METHODIST REHABILITATION HOSPITAL,
,MESQUITE REHABILITATION HOSPITAL,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PLANO,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL RICHARDSON,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SAN ANTONIO,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL VISION PARK,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUGERLAND,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TEXARKANA,
,WESLACO REHABILITATION HOSPITAL,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF AUSTIN,
,NEW BRAUNFELS REGIONAL REHABILITATION HOSPITAL,
,WARM SPRINGS REHABILITATION HOSPITAL OF WESTOVER HILLS,
,PAM REHABILITATION HOSPITAL OF CLEAR LAKE,
,LAREDO REHABILITATION HOSPITAL,
,FIRST STREET HOSPITAL,
,USMD HOSPITAL AT FORT WORTH,
,TOPS SURGICAL SPECIALTY HOSPITAL,
,BAYLOR SCOTT AND WHITE TEXAS SPINE AND JOINT HOSPITAL,
,WOMEN'S HOSPITAL AT RENAISSANCE,
,GREENE COUNTY HOSPITAL,
,NORTH ALABAMA REGIONAL HOSPITAL,
,BAPTIST MEDICAL CENTER - PRINCETON,
,GEORGIANA MEDICAL CENTER,
,REGIONAL HEALTH SERVICES OF HOWARD COUNTY,
,BINGHAM MEMORIAL HOSPITAL,
,NORTHERN IDAHO ADVANCED CARE HOSPITAL,
,REHABILITATION HOSPITAL OF THE NORTHWEST,
,SACRED HEART HOSPITAL,
,PRESENCE CHICAGO HOSPITALS NETWORK DBA PRESENCE SAINT ELIZABETH HOSPITAL,
,PIPELINE WESS MEMORIAL HOSPITAL DBA LOUIS A WEISS MEMORIAL HOSPITAL,
,GRANITE CITY ILLINOIS HOSPITAL COMPANY GATEWAY REGIONAL MEDICAL CENTER,
,ST JOSEPH'S HOSPITAL,
,OSF SAINT LUKE MEDICAL CENTER,
,FALLBROOK HOSPITAL DISTRICT,
,AURORA VISTA DEL MAR HOSPITAL,
,LOS ROBLES HOSPITAL & MEDICAL CENTER,
,NORTH BAY VACAVALLEY HOSPITAL,
,QUEEN OF THE VALLEY HOSPITAL - NAPA,
,ALAMEDA HOSPITAL,
,WASHINGTON HOSPITAL - FREMONT,
,CENTINELA HOSPITAL MEDICAL CENTER,
,COLLEGE HOSPITAL,
,PEAK VIEW BEHAVIORAL HEALTH,
,ST VINCENT GENERAL HOSPITAL DISTRICT,
,WEISBROD MEMORIAL COUNTY HOSPITAL,
,GREATER EL MONTE COMMUNITY HOSPITAL,
,LAC+USC MEDICAL CENTER,
,RONALD REAGAN UCLA MEDICAL CENTER,
,DESERT REGIONAL MEDICAL CENTER,
,RIVERSIDE COMMUNITY HOSPITAL,
,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,
,SOUTHWEST HEALTHCARE SYSTEM-MURRIETA,
,SOUTHWEST HEALTHCARE SYSTEM-WILDOMAR,
,SAN MATEO MEDICAL CENTER,
,SHASTA REGIONAL MEDICAL CENTER,
,NORTHERN INYO HOSPITAL,
,MARIN GENERAL HOSPITAL,
,MARIE GREEN PSYCHIATRIC CENTER - P H F,
,COMMUNITY BEHAVIORAL HEALTH CENTER,
,KERN MEDICAL CENTER,
,KERN VALLEY HEALTHCARE DISTRICT,
,ADVANTIST HEALTH BAKERSFIELD,
,MAD RIVER COMMUNITY HOSPITAL,
,SEMPERVIRENS P.H.F.,
,EL CENTRO REGIONAL MEDICAL CENTER,
,PIONEERS MEMORIAL HOSPITAL,
,NATIVIDAD MEDICAL CENTER,
,COLLEGE HOSPITAL COSTA MESA,
,FOUNTAIN VALLEY RGNL HOSP AND MED CTR - WARNER,
,NEWPORT BAY HOSPITAL,
,ANAHEIM GLOBAL MEDICAL CENTER,
,DOCTORS MEDICAL CENTER,
,NORTH VALLEY BEHAVIORAL HEALTH,
,SIERRA VIEW DISTRICT HOSPITAL,
,GRADY GENERAL HOSPITAL,
,PEACH REGIONAL MEDICAL CENTER,
,WASHINGTON COUNTY REGIONAL MEDICAL CENTER,
,WELLSTAR ATLANTA MEDICAL CENTER,
,HIGHLANDS BEHAVIORAL HEALTH SYSTEM,
,SPALDING REHABILITATION HOSPITAL,
,VIBRA LONG TERM ACUTE CARE HOSPITAL,
,EFFINGHAM HOSPITAL,
,ELBERT MEMORIAL HOSPITAL,
,EMANUEL MEDICAL CENTER,
,REDMOND REGIONAL MEDICAL CENTER,
,RIVER VISTA HEALTH AND WELLNESS LLC,
,MORGAN MEMORIAL HOSPITAL,
,WEST CENTRAL GEORGIA REGIONAL HOSPITAL,
,UNIVERSITY HEALTH CARE SYSTEM,
,LAKE BRIDGE BEHAVIORAL HEALTH SYSTEM,
,FLINT RIVER COMMUNITY HOSPITAL,
,GREENLEAF CENTER,
,PENDER MEMORIAL HOSPITAL,
,WOODLANDS PSYCHIATRIC HEALTH FACILITY,
,BHC STREAMWOOD HOSPITAL BEHAVIORAL HEALTH CENTER,
,WAUKEGAN ILLINOIS HOSPITAL CO LLC DBA VISTA MEDICAL CENTER EAST,
,9TH MEDICAL GROUP,
,PREVOST MEMORIAL HOSPITAL,
,TECHE REGIONAL MEDICAL CENTER,
,LEONARD J. CHABERT MEDICAL CENTER,
,ABBEVILLE GENERAL HOSPITAL,
,ST. CHARLES PARISH HOSPITAL,
,CORNERSTONE HOSPITAL OF WEST MONROE,
,GLENWOOD REGIONAL MEDICAL CENTER,
,OPTIMA SPECIALTY HOSPITAL,
,OCEANS BEHAVIORAL HOSPITAL OF ALEXANDRIA,
,RAPIDES REGIONAL MEDICAL CENTER,
,GREEN CLINIC SURGICAL HOSPITAL,
,FRANKLIN MEDICAL CENTER,
,MERCY REGIONAL MEDICAL CENTER,
,WEST FELICIANA PARISH HOSPITAL,
,CORNERSTONE HOSPITAL OF BOSSIER CITY,
,BYRD REGIONAL HOSPITAL,
,LEESVILLE REHABILITATION HOSPITAL,
,SABINE MEDICAL CENTER,
,SAGE SPECIALTY HOSPITAL,
,PHOENIX BEHAVIORAL HOSPITAL,
,LAKEVIEW REGIONAL MEDICAL CENTER,
,SLIDELL MEMORIAL HOSPITAL,
,AURORA BAYCARE MED CTR,
,NORTH OAKS REHABILITATION HOSPITAL,
,OCEANS BEHAVIORAL HOSPITAL OF BATON ROUGE,
,OCEANS BEHAVIORAL HOSPITAL OF LAKE CHARLES,
,WEST CALCASIEU CAMERON HOSPITAL,
,BRENTWOOD HOSPITAL,
,SELECT SPECIALTY HOSPITAL MADISON,
,SELECT SPECIALTY HSPTL MILWAUKEE,
,BARSTOW COMMUNITY HOSPITAL,
,CHINO VALLEY MEDICAL CENTER,
,DESERT VALLEY HOSPITAL,
,KINDRED HOSPITAL ONTARIO,
,AURORA SAN DIEGO,
,PROMISE HOSPITAL OF SAN DIEGO,
,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,
,SAN LUIS OBISPO CO PSYCHIATRIC HEALTH FACILITY,
,VENTURA COUNTY MEDICAL CENTER,
,HIGHLAND HOSPITAL,
,FREMONT HOSPITAL,
,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,
,TELECARE WILLOW ROCK CENTER,
,ANTELOPE VALLEY HOSPITAL,
,AURORA CHARTER OAK,
,DEL AMO HOSPITAL,
,ENCINO HOSPITAL MEDICAL CENTER,
,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,
,KINDRED HOSPITAL - SAN GABRIEL VALLEY,
,LAC/HARBOR-UCLA MEDICAL CENTER,
,SANTA CLARA VALLEY MEDICAL CENTER,
,HEALTHSOUTH BAKERSFIELD REHABILITATION HOSPITAL,
,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS,
,PLUMAS DISTRICT HOSPITAL,
,SENECA HEALTHCARE DISTRICT,
,TAHOE FOREST HOSPITAL,
,HUNTINGTON BEACH HOSPITAL,
,PLACENTIA LINDA HOSPITAL,
,ORANGE COUNTY GLOBAL MEDICAL CENTER,
,KAWEAH DELTA MEDICAL CENTER,
,ADVENTIST HEALTH TULARE REGIONAL MEDICAL CENTER,
,COASTAL HARBOR TREATMENT CENTER,
,GEORGIA REGIONAL HOSPITAL,
,NORTH CAROLINA SPECIALTY HOSPITAL,
,LAKE NORMAN REGIONAL MEDICAL CENTER,
,ST VINCENT SETON SPECIALTY HOSPITAL LAFAYETTE,
,NASH GENERAL HOSPITAL,
,NEW HANOVER REGIONAL MEDICAL CENTER,
,COMMUNITY CARE HOSPITAL,
,SEASIDE BEHAVIORAL CENTER,
,LONGLEAF HOSPITAL,
,ALLEN PARISH HOSPITAL,
,BOGALUSA - AMG SPECIALTY HOSPITAL,
,NAVAL HEALTH CLINIC NEW ENGLAND,
,OCHSNER LSU HEALTH SHREVEPORT,
,WINNEBAGO MENTAL HLTH INSTITUTE,
,BARSTOW COMMUNITY HOSPITAL,
,CENTRAL VALLEY SPECIALTY HOSPITAL,
,FALLBROOK HOSP DISTRICT SKILLED NURSING FACILITY,
,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,
,TELECARE STANISLAUS COUNTY PHF,
,BLECKLEY MEMORIAL HOSPITAL,
,MENDOTA MENTAL HLTH INSTITUTE,
,HOUSTON MEDICAL CENTER,
,NORTHEAST GEORGIA MEDICAL CENTER,
,PIEDMONT HENRY HOSPITAL,
,PIEDMONT WALTON HOSPITAL INC,
,SOUTH GEORGIA MEDICAL CENTER,
,COLISEUM PSYCHIATRIC HOSPITAL,
,DODGE COUNTY HOSPITAL,
,EMORY UNIV HOSPITAL- EMORY UNIV ORTHO,
,CLINCH MEMORIAL HOSPITAL,
,WELLSTAR SPALDING REGIONAL HOSPITAL,
,EMORY UNIVERSITY HOSPITAL MIDTOWN,
,NORTHSIDE HOSPITAL DULUTH,
,HUGHES SPALDING CHILDREN'S HOSPITAL,
,NAVICENT HEALTH BALDWIN,
,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,
,SUMMITRIDGE CENTER- PSYCHIATRY & ADDICTIVE MED,
,TAYLOR REGIONAL HOSPITAL,
,WAYNE MEMORIAL HOSPITAL,
,ASPIRUS MEDFORD HOSPITAL & CLINICS,
,MEADOWS REGIONAL MEDICAL CENTER,
,WELLSTAR WEST GEORGIA MEDICAL CENTER,
,SAUK PRAIRIE HOSPITAL,
,LIFECARE HOSPITALS OF SHREVEPORT,
,GENESIS BEHAVIORAL HOSPITAL,
,LEXINGTON VA MEDICAL CENTER - LEESTOWN,
,FOUNDATION SURGICAL HOSPITAL OF HOUSTON,
,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,
,OCEANS HOSPITAL OF BROUSSARD,
,CARL VINSON VA MEDICAL CENTER,
,EAST BAY DIVISION - MARTINEZ OUTPATIENT CLINIC,
,SEPULVEDA AMBULATORY CARE CENTER,
,VA MEDICAL CENTER - SACRAMENTO,
,LOUISIANA EXTENDED CARE HOSPITAL OF NATCHITOCHES,
,PAM SPECIALTY HOSPITAL OF HAMMOND,
,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,
,TOTALLY KIDS REHABILITATION CENTER,
,UCSF MEDICAL CENTER AT MISSION BAY,
,ENLOE REHABILITATION CENTER,
,ADVENTIST HEALTH FEATHER RIVER HOSPITAL,
,OROVILLE HOSPITAL,
,ST. ELIZABETH COMMUNITY HOSPITAL,
,VA LOMA LINDA HEALTHCARE SYSTEM,
,COMMUNITY HOSPITAL OF SAN BERNARDINO,
,KAISER FND HOSP - FONTANA,
,NORTH COLORADO MEDICAL CENTER,
,VA SAN DIEGO HEALTHCARE SYSTEM,
,BRIDGEPOINT CONTINUING CARE HOSPITAL,
,LOMA LINDA UNIVERSITY MEDICAL CENTER,
,REDLANDS COMMUNITY HOSPITAL,
,VICTOR VALLEY GLOBAL MEDICAL CENTER,
,GROSSMONT HOSPITAL,
,RADY CHILDREN'S HOSPITAL - SAN DIEGO,
,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,
,SCRIPPS MERCY HOSPITAL,
,SCRIPPS MERCY HOSPITAL - CHULA VISTA,
,SHARP CHULA VISTA MEDICAL CENTER,
,SHARP MCDONALD CENTER,
,SHARP MEMORIAL HOSPITAL,
,CHINESE HOSPITAL,
,SUTTER AMADOR HOSPITAL,
,ADVENTIST HEALTH SIMI VALLEY,
,ST. JOHN'S PLEASANT VALLEY HOSPITAL,
,PETALUMA VALLEY HOSPITAL,
,SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY,
,KAISER FOUNDATION HOSPITAL - VACAVILLE,
,NORTH BAY MEDICAL CENTER,
,SUTTER SOLANO MEDICAL CENTER,
,GOLETA VALLEY COTTAGE HOSPITAL,
,MARIAN MEDICAL CENTER,
,COTTAGE REHABILITATION HOSPITAL,
,SUTTER COAST HOSPITAL,
,ADVENTIST HEALTH SONORA REGIONAL MEDICAL CENTER - FAIRVIEW,
,ADVENTIST HEALTH SONORA GREENLEY,
,MARK TWAIN ST. JOSEPH'S HOSPITAL,
,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,
,UCSF BENIOFF CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,
,EDEN MEDICAL CENTER,
,KAISER FND HOSP - OAKLAND CAMPUS,
,KAISER FND HOSP-MANTECA,
,SUTTER TRACY COMMUNITY HOSPITAL,
,AMERICAN RECOVERY CENTER,
,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,
,CASA COLINA HOSPITAL FOR REHAB MEDICINE,
,CATALINA ISLAND MEDICAL CENTER,
,CEDARS SINAI MEDICAL CENTER,
,CHILDREN'S HOSPITAL OF LOS ANGELES,
,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,
,CITRUS VALLEY MEDICAL CENTER - QV CAMPUS,
,GOOD SAMARITAN HOSPITAL-LOS ANGELES,
,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,
,HUNTINGTON MEMORIAL HOSPITAL,
,JOYCE EISENBERG KEEFER MEDICAL CENTER,
,KAISER FOUNDATION HOSPITAL SOUTH BAY,
,KAISER PERMANENTE WOODLAND HILLS MEDICAL CENTER,
,KINDRED HOSPITAL - LA MIRADA,
,KINDRED HOSPITAL - LOS ANGELES,
,MEMORIALCARE LONG BEACH MEDICAL CENTER,
,NORTHRIDGE HOSPITAL MEDICAL CENTER,
,POMONA VALLEY HOSPITAL MEDICAL CENTER,
,PIH HEALTH HOSPITAL- WHITTIER,
,PROVIDENCE HOLY CROSS MEDICAL CENTER,
,SHERMAN OAKS HOSPITAL,
,ST. FRANCIS MEDICAL CENTER,
,ST. MARY MEDICAL CENTER,
,TOM REDGATE MEMORIAL RECOVERY CENTER,
,TORRANCE MEMORIAL MEDICAL CENTER,
,USC KENNETH NORRIS,
,VALLEY PRESBYTERIAN HOSPITAL,
,ADVENTIST HEALTH WHITE MEMORIAL MEDICAL CENTER,
,SUTTER LAKESIDE HOSPITAL,
,THE BETTY FORD CENTER,
,KAISER FND HOSP - RIVERSIDE,
,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,
,PACIFIC GROVE HOSPITAL,
,CHILDRENS RECOVERY CENTER OF NORTHERN CALIFORNIA,
,STANFORD HEALTH CARE,
,MENLO PARK SURGICAL HOSPITAL,
,MILLS HEALTH CENTER,
,MERCY MEDICAL CENTER - REDDING,
,KAISER FND HOSP - ROSEVILLE,
,SUTTER ROSEVILLE MEDICAL CENTER,
,KAISER FND HOSP - SAN RAFAEL,
,MEMORIAL HOSPITAL LOS BANOS,
,CLOVIS COMMUNITY MEDICAL CENTER,
,MARSHALL MEDICAL CENTER (1-RH),
,JOHN MUIR BEHAVIORAL HEALTH CENTER,
,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,
,COLUSA REGIONAL MEDICAL CENTER,
,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,
,MERCY HOSPITAL - BAKERSFIELD,
,MERCY SOUTHWEST HOSPITAL,
,KAISER FND HOSP - SOUTH SACRAMENTO,
,MERCY HOSPITAL - FOLSOM,
,MERCY SAN JUAN HOSPITAL,
,METHODIST HOSPITAL OF SACRAMENTO,
,SUTTER MEDICAL CENTER,
,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,
,GENERAL HOSPITAL,
,GLENN MEDICAL CENTER,
,FAIRCHILD MEDICAL CENTER,
,ST MARYS HOSPITAL AND MEDICAL CENTER,
,MERCY MEDICAL CENTER MT. SHASTA,
,COMMUNITY HOSPITAL MONTEREY PENINSULA,
,AHMC ANAHEIM REGIONAL MEDICAL CENTER,
,SOUTH COAST GLOBAL MEDICAL CENTER,
,MISSION HOSPITAL LAGUNA BEACH,
,MISSION HOSPITAL REGIONAL MEDICAL CENTER,
,MEMORIALCARE SADDLEBACK MEDICAL CENTER,
,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,
,MEMORIAL HOSPITAL MEDICAL CENTER - MODESTO,
,LOWER CONEE COMMUNITY HOSPITAL,
,ADVENTHEALTH GORDON HOSPITAL,
,GRADY MEMORIAL HOSPITAL,
,SAINT JOSEPHS HOSPITAL OF ATLANTA,
,PIEDMONT NEWNAN HOSPITAL,
,WELLSTAR KENNESTONE HOSPITAL,
,WELLSTAR WINDY HILL HOSPITAL,
,NORTHSIDE HOSPITAL FORSYTH,
,FLOYD MEDICAL CENTER,
,FLOYD MEDICAL CENTER,
,ST FRANCIS HOSPITAL,
,DONALSONVILLE HOSPITAL,
,CHILDRENS HEALTHCARE OF ATLANTA - EGLESTON,
,EMORY HILLANDALE HOSPITAL,
,WELLSTAR DOUGLAS HOSPITAL,
,LAFAYETTE GENERAL MEDICAL CENTER,
,OUR LADY OF LOURDES REGIONAL MEDICAL CENTER,
,LAFAYETTE BEHAVIORAL HEALTH UNIT,
,OCHSNER BAPTIST MEDICAL CENTER,
,ST. FRANCIS MEDICAL CENTER,
,MADISON PARISH HOSPITAL,
,NORTHERN LOUISIANA MEDICAL CENTER,
,UNION GENERAL HOSPITAL,
,ST. HELENA PARISH HOSPITAL,
,SPRINGHILL MEDICAL CENTER,
,BATON ROUGE GENERAL MEDICAL CENTER (MID-CITY),
,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,
,WALTER OLIN MOSS REGIONAL MEDICAL CENTER,
,CHRISTUS HEALTH - SHREVEPOR-BOSSIER,
,CHRISTUS SCHUMPERT MEDICAL CENTER,
,SHRINERS HOSPITALS FOR CHILDREN-SHREVEPORT,
,ST VINCENT HSPTL,
,UNITYPOINT HEALTH-MERITER CHILD AND ADOLESCENT PSYCH HOSPITAL,
,WAUPUN MEM HSPTL,
,ST MARYS HSPTL MED CTR,
